pos,corr_resp,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,0,0,0,0,0,0,0,0,,,,,29.79773520003073,30.782147599966265,30.782147599966265,30.782147599966265,30.782147599966265,30.813917099963874,31.7963723000139,31.7963723000139,x,1,0.46597519994247705,None,1st,001,2023-10-09_11h26.41.525,Tutorial4_MotorSequenceLearning,2023.1.3,60.00628869296868,
150,v,0,0,0,0,0,1,1,1,,,,,32.312831299961545,33.31416830001399,33.31416830001399,33.31416830001399,33.31416830001399,33.332346900017,34.29617430001963,34.29617430001963,v,1,0.3978760000318289,None,1st,001,2023-10-09_11h26.41.525,Tutorial4_MotorSequenceLearning,2023.1.3,60.00628869296868,
50,c,0,0,0,0,0,2,2,2,,,,,34.72951680002734,35.729498800006695,35.729498800006695,35.729498800006695,35.729498800006695,35.74895569996443,36.72984499996528,36.72984499996528,c,1,0.3486144000198692,None,1st,001,2023-10-09_11h26.41.525,Tutorial4_MotorSequenceLearning,2023.1.3,60.00628869296868,
-150,z,0,0,0,0,0,3,3,3,,,,,37.113928799983114,38.112843599985354,38.112843599985354,38.112843599985354,38.112843599985354,38.13227339996956,39.11314479995053,39.11314479995053,z,1,0.3462063000770286,None,1st,001,2023-10-09_11h26.41.525,Tutorial4_MotorSequenceLearning,2023.1.3,60.00628869296868,
-50,x,0,0,0,0,1,0,4,0,,,,,39.48206910002045,40.49751449993346,40.49751449993346,40.49751449993346,40.49751449993346,40.49751449993346,41.51314429997001,41.51314429997001,x,1,0.3535113000543788,None,1st,001,2023-10-09_11h26.41.525,Tutorial4_MotorSequenceLearning,2023.1.3,60.00628869296868,
150,v,0,0,0,0,1,1,5,1,,,,,41.91575449996162,42.913951999973506,42.913951999973506,42.913951999973506,42.913951999973506,42.94669529993553,43.91343129996676,43.91343129996676,v,1,0.43676059995777905,None,1st,001,2023-10-09_11h26.41.525,Tutorial4_MotorSequenceLearning,2023.1.3,60.00628869296868,
50,c,0,0,0,0,1,2,6,2,,,,,44.398723599966615,45.39658179995604,45.39658179995604,45.39658179995604,45.39658179995604,45.415253299986944,46.396898700040765,46.396898700040765,c,1,0.3698611999861896,None,1st,001,2023-10-09_11h26.41.525,Tutorial4_MotorSequenceLearning,2023.1.3,60.00628869296868,
-150,z,0,0,0,0,1,3,7,3,,,,,46.799141100025736,47.796307699987665,47.796307699987665,47.796307699987665,47.796307699987665,47.81535279995296,48.81404389999807,48.81404389999807,z,1,0.32206180004868656,None,1st,001,2023-10-09_11h26.41.525,Tutorial4_MotorSequenceLearning,2023.1.3,60.00628869296868,
-50,x,0,0,0,0,2,0,8,0,,,,,49.18196720001288,50.17938430001959,50.17938430001959,50.17938430001959,50.17938430001959,50.19937329995446,51.196277700015344,51.196277700015344,x,1,0.27713239996228367,None,1st,001,2023-10-09_11h26.41.525,Tutorial4_MotorSequenceLearning,2023.1.3,60.00628869296868,
150,v,0,0,0,0,2,1,9,1,,,,,51.51520709996112,52.52954070002306,52.52954070002306,52.52954070002306,52.52954070002306,52.52954070002306,53.53067669994198,53.53067669994198,v,1,0.33742519991938025,None,1st,001,2023-10-09_11h26.41.525,Tutorial4_MotorSequenceLearning,2023.1.3,60.00628869296868,
50,c,0,0,0,0,2,2,10,2,,,,,53.898464799975045,54.89617449999787,54.89617449999787,54.89617449999787,54.89617449999787,54.91586369997822,55.92980289994739,55.92980289994739,c,1,0.2605956000043079,None,1st,001,2023-10-09_11h26.41.525,Tutorial4_MotorSequenceLearning,2023.1.3,60.00628869296868,
